code	no_of_companies	shareholder_Name	shareholder_Country
EC0990379017001	2	Desinvest S.A., Grupo Wong, Ifecor S.A., Mr Andres Bluhm Carlsohn, Mr Gustavo Moeller Freile Werner, Sasetaf S.A.	EC, EC, UY, EC
EC1791240014001	254	Qbe Insurance Group Ltd	AU
EC0990026440001	0	Alhaurin S.A., Banco Del Instituto Ecuatoriano De Seguridad Social, Bienes Raices Y Muebles Sa, Holding Sola & Sola Solacciones S.A., Jelta Properties Ltd, Junta De Beneficencia De Guayaquil, Juxama Industrial Holdings Limited Partnership, Megaholdings Assets C.V., Mr Oswaldo Leon Carciente, Mr Pedro Alejandro Englert, Mrs Corina Cozza Englert, Mrs Jacinta Eulalia Hington Moreira, Mrs Maria Carla Ferrari, Mrs Veronica Maria Reyes Tous, Oftanol S.A., Peal S.A, Predimasa Predial Diana Maria Sa, Premier Stock Investments Limited, Stellia Sa, Torquemada C.V.	EC, EC, EC, EC, VG, EC, EC, NL, CH, AT, AT, EC, IT, ES, EC, EC, EC, NZ, UY, NL
EC1790516008001	467	Ace Ina International Holding, Ltd	US
EC1790049795001	0	, Seaboard Corp	, US
EC0991327371001	2	Mr Jan Tomislav Topic Feraud, Mr Marion Tomislav Topic Granados	EC, EC
EC0992185228001	20	Albacora, Sociedad Anonima	ES
EC0990270236001	0	Hispanogroup S.A., Mrs Cecilia Irene Arosemena De Gonzalez Ruiz	EC, EC
EC0990005419001	2	Club Angala Sa, Compania Agricola La Julia S. A., Empacadora Del Litoral Empacar S.A., Fruit Shippers Limited	EC, EC, EC, BS
EC1790009459001	2	Baca Moscoso Alicia Olga Eulalias, Corporacion Casabaca Holding S.A., Mr Jaime Gonzalo Baca Moscoso	EC, EC, EC
EC0190055965001	3	, Novo & Associates (Usa) Llc, Southern Ohio Grou Llc	
EC0990012202001	6	Comercializadora De Papeles Y Cartones Surpapel S.A., Mr Oscar Antonio Illingworth Guerrero	EC, EC
EC1791289927001	3	Geld-Holdings S.A., Mrs Patsy Mercedes Torres Toledo	EC, EC
EC17345	0		
EC1790010309001	3	Fideicomiso Teojama Acciones, Mr Antonio Malo Monsalve Manuel, Mr Ignacio Malo Monsalve Jacinto	EC, EC, EC
EC1792345928001	0		
EC0990008167001	0	Berosel S.A., Bifianco S.A., Kerisam S.A., Liesco S.A.	EC, EC, EC, EC
EC1791109384001	2	, Orca Credit Holdings Llc	, US
EC1790475247001	563	American International Underwriters Del Ecuador Sa, Chartis Latin America Investments Llc, Chartis Overseas Association, Compania Sinves S.A., Mr Georg Grunberg	EC, US, BM, EC
EC0990014094001	0	Fideicomiso De Garantia Administracion Y Pago Induauto-Cfn, Inmobiliaria Civil Capusa C.A., Inmobiliaria Gunsa C Ltda, Inmobiliaria Nemosil Sa, Inversiones Germania Sa, Mercaterra S.A., Mrs Denise Maria Barakat Isaias, Mrs Pricilla Janet Barakat Isaias	EC, EC, EC, EC, EC, EC, EC, EC
EC1390149219001	0	Industrial Pesquera Iberoamericana S.A. Iberopesca, Mr Gian Sandro Perotti Coello, Mrs Nadia Elizabeth Torres Astudillo, Negocios Campo Grande S.A. Campogransa	EC, EC, EC, EC
EC0990810311001	3	Mr Alfonso Galarza Mackay Wilson, Mr Alfredo Galarza Campoverde Wilson, Mr Edgar Patricio Galarza Maldonado, Mr Ferdo Wilson Galarza Mackay, Mr Rafael Galarza Solis Wilson, Mrs Karina Estela Galarza Flores, Mrs Narcisa Ferda Galarza Flores, Mrs Natalia Semira Galarza Flores	EC, EC, EC, EC, EC, EC, EC, EC
EC0991028544001	3	Interoc Worldwide Llp, Mr Felipe Antonio Custer Hallett	GB, PE
EC0991400427001	2	Mr Bernhard Ferdo Andre Mortola, Mr Jorge Emilio Zambrano Poggi, Mr Jose Antonio Furoiani Villagomez, Mr Jose Antonio Luna Jijon, Mr Jose Luis Furoiani Zambrano, Pharmacaps Del Ecuador Pharmacaps S.A., Reyhansa S.A.	EC, EC, EC, EC, EC, EC, EC
EC52620	37	Ecuador	EC
EC1890000130001	0	Faauto S.A., Mr Francisco Manuel Cabeza De Vaca Palacios, Mr Gonzalo Callejas Chiriboga Sixto, Mr Her Ramiro Cabeza De Vaca Andrade Marin, Mr Monica Maria Del Pilar Sevilla Cobo, Mr Ricardo Cabeza De Vaca Bowman, Mr Temistocles Patricio Sevilla Cobo, Mrs Margarita Cabeza De Vaca Palacios, Mrs Maria Aurelia Sevilla De Cobo, Mrs Maria Del Carmen Cabeza De Vaca Palacios, Mrs Maria Jimena Sevilla Cobo, Sevilla Cobo Rodrigo	EC, EC, EC, EC, EC, US, EC, EC, EC, EC, EC, EC
EC0990865477001	2	Global Agrifund Limited, Mr Antonio Jose Saab Adum	, EC
EC53968	37	Banco Del Pacifico	EC
EC1791273486001	4	Grupo Futuro Grufusa S.A., Mrs Martha Cristina Tufino Rodriguez	EC
EC0990000530001	0	Letacia S.A., Mr Anton Jorge Elias Joaquin Fayad, Mr Jorge Juan Fayad Saman, Mr Juan Jose Fayad Saman, Mr Luis Esteban Fayad Saman, Tomovich S.A.	EC, EC, EC, EC, EC, EC
EC0990001243001	2	Fideicomiso Boyaca, Fideicomiso Espartaco, Ilponto S.A., Tridelta S.A.	EC, EC, EC, EC
EC0992336757001	0	Corporacion America Sa, Dellair Services S.A., Ormond Group S.A.	AR, EC, PA
EC1790013561001	237	, Sherwin Williams Company (The)	, US
EC30125LE	37	Ecuador	EC
EC0992256230001	3	Mundoferretero S.A., Paddington Associated S.A.	EC, PA
EC30207LE	0		
EC0190123626001	2	Mr Luis Ramiro Chiriboga Cordovez, Rodrigo Cevallos Guevara, Rodrigo Neptali Cevallos Breilh	EC, EC
EC1791297385001	2	Mr Carlos Ortiz Gonzales, Mr Gabriel Farraye Henech, Mr Giovanni Carlos Di Mella Vespa, Mr Luigi Scifo Amodio	VE, EC, EC, VE
EC0991272895001	0		
EC1760002870001	0	Instituto Ecuatoriano De Seguridad Social Direccion General Quito, Ministerio De Desarrollo Urbano Y Vivienda Miduvi	EC, EC
EC1790300404001	4	Agricola Vivero Sa, Holding La Fabril S.A. Holdingfabril	EC, EC
EC0991243844001	2	Mr Nicolas Enrique Gallardo Crusellas, Mrs Elizabeth Mercedes Yunes Mariduena Letty	EC, EC
EC1390060757001	0	Acenor Aceros Del Norte Sa, Comercial Del Norte Codenor Internacional Limitadapaullna Andrea Medel Santibanez, Mr Pablo Rene Carrasco Torrontegui	CL, CL, EC
EC1790140083001	3	Corporacion Empresarial S.A. Corpesa, Gomez Calisto Juan Carlos (Hrdos)	EC, EC
EC1790012158001	0		
EC0990562091001	2	Da Silva Marli, Nogueira Ferdes Oduvaldo	BR, BR
EC0990021279001	249	, O-I Ecuador Llc	, US
EC1090077135001	2	Autoventas Way W Amador Y Sa, Horra Alvarez Gonzalo Manuel (Hrdos), Mr Ernesto Amador Yepez Wilson	EC, EC, EC
EC0992444762001	101	Petrex Sa	PE
EC1790093808001	307	Liberty Mutual Insurance Companies, Liberty Uk And Europe Holdings Limited	US, GB
EC0990041105001	0	Corporacion Derco Sociedad Anonima, Simsa Holding Corp Sociedad Anonima	CR, CR
EC1792056055001	5	Mr Xavier Ribadeneira Parducci Rodrigo, Overtaim S.A.	EC, EC
EC0990093377001	37	Corporacion Ficiera Nacional Cfn	EC
EC1790412113001	3		
EC0992231092001	0	Mr Carlos Alberto Delgado Villacis, Mr Cesar Antonio Delgado Villacis	EC, EC
EC0990000689001	0	Arpim Cia.Ltda., Inversiones Espaãœãžãœã“Olas De Recubrimientos Sl	EC, ES
EC1891723756001	2	Mr Juan David Nunez Hurtado, Nuãœãžãœã“Ez Medina Franklin Rodrigo	
EC1790084604001	3		
EC0992423153001	5	Beauport S.A., Mr Vera Sergio Ivan Cruz	EC, EC
EC1790075494001	5		
EC20737	0		
EC20730	0		
EC0991313788001	0	Mr Gustavo Vinicio Nunez Marquez	
EC1790971937001	3	Nintanga S.A., South American Frozen Foods Llp	EC, GB
EC54343	0		
EC30161LE	0		
EC0990006164001	4	Metrocorp International, Mr Simon Sevilla Larrea Roque	KY, EC
EC0990022453001	2	Ceramix S.A., Haesuiza S.A.	EC, EC
EC0992142618001	2	Ferdez Zambrano Eugenio De Jesus, Mrs Kenya Katherine Ferdez Escobar	EC, EC
EC0990697000001	372	Fedalmar S.A., Inmobiliaria E Inversionista Margana Cia Ltda, Inversionista Felco Sa, Mapfre Internacional Sociedad Anonima., Mapfre Sa, Mr Florentino Briz Munos, Mr Galo Cabezas Martinez, Mr Juan Martin Schotel Hidalgo, Predial Las Colinas S.A., Senoicca Industrial S.A.	, ES, ES, EC, EC
